feature,importance
PCT_HRS_UNDERGROUND,0.09479474
PRIMARY_crushed and broken_1,0.03582656
PRIMARY_Bituminous_1,0.030044243
PRIMARY_Granite_1,0.029378667
COMMODITY_Stone,0.029047245
PRIMARY_Traprock_1,0.026732568
PRIMARY_common_1,0.022340678
US_STATE_TX,0.022047825
US_STATE_GA,0.0219622
US_STATE_WI,0.021744074
PRIMARY_Copper Ore_1,0.020680103
PRIMARY_Shale_1,0.020657694
PRIMARY_Lead and/or Zinc Ore_1,0.019891236
PRIMARY_Cement_1,0.019418325
PRIMARY_Gold_1,0.019416241
US_STATE_WA,0.018921364
US_STATE_CA,0.018408932
PRIMARY_Silver Ore_1,0.018053519
US_STATE_NY,0.017859448
PCT_HRS_STRIP,0.017822117
PRIMARY_Iron Ore_1,0.017752804
PCT_HRS_MILL_PREP,0.017198464
US_STATE_PA,0.01713923
PRIMARY_dimension_1,0.017117906
SEAM_HEIGHT,0.016211571
PRIMARY_Alumina_1,0.015642827
PRIMARY_Sandstone_1,0.015285874
US_STATE_IA,0.014996015
US_STATE_TN,0.014484432
COMMODITY_Nonmetal,0.014477111
US_STATE_NC,0.014473359
US_STATE_VA,0.014227402
PCT_HRS_DREDGE,0.014082499
PRIMARY_Clay_1,0.013920181
PRIMARY_Lime_1,0.013764819
US_STATE_UT,0.013199657
PRIMARY_Limestone_1,0.012763669
US_STATE_CO,0.012670383
US_STATE_AL,0.012218513
AVG_EMP_TOTAL,0.011677262
US_STATE_IL,0.011481071
US_STATE_SD,0.011383792
US_STATE_RI,0.011051413
US_STATE_OH,0.010653058
PCT_HRS_SURFACE,0.010472651
PRIMARY_NEC_1,0.010106035
PCT_HRS_OFFICE,0.010031741
US_STATE_MO,0.009998473
PRIMARY_Anthracite_1,0.009879956
US_STATE_IN,0.009695711
PRIMARY_Stone_1,0.009430288
PCT_HRS_OTHER_SURFACE,0.009086547
PRIMARY_Marble_1,0.008868445
PCT_HRS_AUGER,0.008616396
PRIMARY_Nonmetallic minerals_1,0.007078116
TYPE_OF_MINE_Surface,0.0068359533
US_STATE_KS,0.0066104713
US_STATE_ID,0.0048790453
PCT_HRS_SHOP_YARD,0.003706126
US_STATE_OR,0.002609519
YEAR,0.0025500252
US_STATE_WY,0.0020211353
US_STATE_MN,0.0018747274
US_STATE_WV,0.0013498532
US_STATE_NV,0.0010385545
TYPE_OF_MINE_Underground,0.00033911946
PRIMARY_Sodium compounds_1,0.0
PRIMARY_Soapstone_1,0.0
PRIMARY_Oil Sand_1,0.0
PRIMARY_Nickel_1,0.0
PRIMARY_Oil Shale_1,0.0
PRIMARY_Oil Mining_1,0.0
PRIMARY_Titanium_1,0.0
PRIMARY_Molybdenum_1,0.0
PRIMARY_ceramic and factory_1,0.0
PRIMARY_evaporated_1,0.0
PRIMARY_Mica_1,0.0
PRIMARY_fire_1,0.0
PRIMARY_Metal Ores_1,0.0
PRIMARY_industrial_1,0.0
PRIMARY_mill_1,0.0
PRIMARY_Perlite_1,0.0
PRIMARY_Potash_1,0.0
PRIMARY_Phosphate rock_1,0.0
PRIMARY_Sand_1,0.0
PRIMARY_Tungsten_1,0.0
PRIMARY_Uranimum_1,0.0
PRIMARY_Talc_1,0.0
PRIMARY_Vanadium_1,0.0
PRIMARY_Manganese_1,0.0
PRIMARY_Sand & gravel_1,0.0
PRIMARY_Vermiculite_1,0.0
PRIMARY_and Borate minerals_1,0.0
PRIMARY_Pigment material_1,0.0
PRIMARY_Salt_1,0.0
PRIMARY_Slate_1,0.0
PRIMARY_Rare Earth_1,0.0
PRIMARY_Pumice_1,0.0
PRIMARY_Trona_1,0.0
PRIMARY_Platinum_1,0.0
PRIMARY_and Pyrophylite_1,0.0
PRIMARY_Soda_1,0.0
PRIMARY_Antimony_1,0.0
PRIMARY_Magnesite_1,0.0
US_STATE_MI,0.0
US_STATE_PR,0.0
US_STATE_OK,0.0
US_STATE_NM,0.0
US_STATE_NJ,0.0
US_STATE_NH,0.0
US_STATE_NE,0.0
US_STATE_ND,0.0
US_STATE_MT,0.0
US_STATE_MS,0.0
US_STATE_ME,0.0
US_STATE_VI,0.0
US_STATE_MD,0.0
US_STATE_MA,0.0
US_STATE_LA,0.0
US_STATE_KY,0.0
US_STATE_HI,0.0
US_STATE_FL,0.0
US_STATE_DE,0.0
US_STATE_CT,0.0
US_STATE_AZ,0.0
US_STATE_SC,0.0
US_STATE_VT,0.0
PRIMARY_Leonardite_1,0.0
PRIMARY_Brucite_1,0.0
PRIMARY_Kyanite_1,0.0
PRIMARY_Gypsum_1,0.0
PRIMARY_Gilsonite_1,0.0
PRIMARY_Gemstones_1,0.0
PRIMARY_Fluorspar_1,0.0
PRIMARY_Feldspar_1,0.0
PRIMARY_Coal_1,0.0
PRIMARY_Chromite_1,0.0
PRIMARY_Chemical and Fertilizer_1,0.0
PRIMARY_Boron materials_1,0.0
COMMODITY_Metal,0.0
PRIMARY_Beryl_1,0.0
PRIMARY_Barite_1,0.0
PRIMARY_Aplite_1,0.0
US_STATE_AR,0.0
PRIMARY_Aluminum Ore_1,0.0
LOG_AVG_EMP_TOTAL,0.0
PCT_HRS_CULM_BANK,0.0
TYPE_OF_MINE_Sand & gravel,0.0
COMMODITY_Sand & gravel,0.0
PRIMARY_rock_1,0.0
