feature,importance,model
AVG_EMP_TOTAL,0.15284948,Classification
US_STATE_OR,0.01892721,Classification
PRIMARY_industrial_1,0.015629636,Classification
US_STATE_ME,0.015199411,Classification
PRIMARY_Nonmetallic minerals_1,0.014464663,Classification
US_STATE_CA,0.013558601,Classification
PRIMARY_fire_1,0.013103975,Classification
US_STATE_WA,0.012949065,Classification
PRIMARY_Anthracite_1,0.012911759,Classification
US_STATE_WI,0.01253064,Classification
US_STATE_TN,0.012407152,Classification
PRIMARY_common_1,0.012379397,Classification
US_STATE_MN,0.012081049,Classification
PRIMARY_Iron Ore_1,0.011799345,Classification
PRIMARY_Sand_1,0.011741637,Classification
US_STATE_OH,0.011550926,Classification
US_STATE_MI,0.011396034,Classification
US_STATE_IN,0.01128348,Classification
US_STATE_SD,0.011260669,Classification
US_STATE_WY,0.011044878,Classification
PCT_HRS_CULM_BANK,0.011012324,Classification
HRS_PER_EMP,0.010765473,Classification
US_STATE_NM,0.010729236,Classification
PRIMARY_dimension_1,0.0107173845,Classification
PRIMARY_Sandstone_1,0.010611542,Classification
PRIMARY_crushed and broken_1,0.010605938,Classification
PRIMARY_Granite_1,0.010569793,Classification
US_STATE_NY,0.010236221,Classification
COMMODITY_Nonmetal,0.010230449,Classification
PRIMARY_Chemical and Fertilizer_1,0.01017393,Classification
US_STATE_CT,0.010107929,Classification
US_STATE_AZ,0.010037712,Classification
US_STATE_KY,0.009856303,Classification
PRIMARY_Limestone_1,0.009656108,Classification
EMP_X_STRIP,0.009642399,Classification
US_STATE_NC,0.009622595,Classification
US_STATE_TX,0.009540675,Classification
PCT_HRS_OFFICE,0.009430726,Classification
US_STATE_OK,0.009390612,Classification
US_STATE_NE,0.009361017,Classification
US_STATE_MD,0.00935708,Classification
PCT_HRS_DREDGE,0.009313768,Classification
US_STATE_CO,0.00931165,Classification
US_STATE_PA,0.0092958165,Classification
PRIMARY_Slate_1,0.009276052,Classification
PCT_HRS_STRIP,0.00927468,Classification
EMP_X_OFFICE,0.009247219,Classification
US_STATE_VT,0.008755744,Classification
US_STATE_AR,0.008650163,Classification
US_STATE_HI,0.008486918,Classification
PRIMARY_Sand & gravel_1,0.008486898,Classification
US_STATE_WV,0.008110263,Classification
US_STATE_GA,0.008109808,Classification
RISK_SCORE,0.007868947,Classification
PRIMARY_Stone_1,0.007845336,Classification
PRIMARY_Traprock_1,0.007745876,Classification
US_STATE_AL,0.0076169414,Classification
PRIMARY_Clay_1,0.007546495,Classification
US_STATE_FL,0.00735412,Classification
PRIMARY_NEC_1,0.0072173406,Classification
US_STATE_IL,0.0071794963,Classification
US_STATE_IA,0.0070145265,Classification
PCT_HRS_MILL_PREP,0.0069083804,Classification
US_STATE_PR,0.0067964313,Classification
PRIMARY_Barite_1,0.006715841,Classification
PCT_HRS_UNDERGROUND,0.006483709,Classification
US_STATE_KS,0.006408212,Classification
PRIMARY_Gypsum_1,0.0063320803,Classification
EMP_X_UNDERGROUND,0.0062060426,Classification
US_STATE_MA,0.0062008775,Classification
US_STATE_ND,0.0060692164,Classification
US_STATE_LA,0.006051633,Classification
PRIMARY_Gold_1,0.0057117455,Classification
PCT_HRS_SURFACE,0.005617904,Classification
PRIMARY_Shale_1,0.005214054,Classification
PCT_HRS_SHOP_YARD,0.005169977,Classification
PCT_HRS_OTHER_SURFACE,0.005159993,Classification
YEAR,0.0051528737,Classification
US_STATE_RI,0.0051062335,Classification
PRIMARY_Mica_1,0.0050580367,Classification
TYPE_OF_MINE_Surface,0.00501569,Classification
US_STATE_MO,0.004936139,Classification
COMMODITY_Sand & gravel,0.0049296045,Classification
PRIMARY_Cement_1,0.0049159103,Classification
US_STATE_VA,0.0048549003,Classification
US_STATE_MT,0.0048076897,Classification
US_STATE_ID,0.004785248,Classification
PRIMARY_Gemstones_1,0.0046799784,Classification
SEAM_HEIGHT,0.004443049,Classification
US_STATE_NV,0.0043802955,Classification
PRIMARY_Bituminous_1,0.0043603717,Classification
EMP_X_SURFACE,0.0042762114,Classification
COMMODITY_Stone,0.0042687915,Classification
PCT_HRS_AUGER,0.0041711642,Classification
PRIMARY_ceramic and factory_1,0.0041404883,Classification
