feature,importance
LOG_AVG_EMP_TOTAL,0.28786513
MINE_CHAR_Underground Coal,0.10948213
PCT_HRS_STRIP,0.08848649
PCT_HRS_UNDERGROUND,0.07928475
COMMODITY_Metal,0.062329907
TYPE_OF_MINE_Surface,0.060108587
MINE_CHAR_Surface Metal,0.04065003
COMMODITY_Nonmetal,0.037902772
MINE_CHAR_Surface Nonmetal,0.036300924
MINE_CHAR_Underground Metal,0.032695115
PCT_HRS_MILL_PREP,0.02989627
PCT_HRS_SURFACE,0.02760106
PCT_HRS_OFFICE,0.017909413
SEAM_HEIGHT,0.016881956
MINE_CHAR_Surface Stone,0.01592556
MINE_CHAR_Mill Nonmetal,0.012402274
MINE_CHAR_Underground Stone,0.007421122
MINE_CHAR_Mill Coal,0.006585231
TYPE_OF_MINE_Mill,0.006377012
COMMODITY_Coal,0.0060994686
COMMODITY_Stone,0.0048203715
PCT_HRS_OTHER_SURFACE,0.0029132909
MINE_CHAR_Underground Nonmetal,0.0020368968
MINE_CHAR_Mill Metal,0.00155435
MINE_CHAR_Mill Stone,0.0015030304
COMMODITY_Sand & gravel,0.0014648656
PCT_HRS_SHOP_YARD,0.0010288171
MINE_CHAR_Surface Coal,0.0007924567
ADJ_STATUS_Intermittent,0.0007735863
PCT_HRS_DREDGE,0.0006679175
PCT_HRS_AUGER,0.0002391914
ADJ_STATUS_Open,0.0
TYPE_OF_MINE_Sand & gravel,0.0
TYPE_OF_MINE_Underground,0.0
PCT_HRS_CULM_BANK,0.0
MINE_CHAR_Sand & gravel Sand & gravel,0.0
