feature,importance
PCT_HRS_UNDERGROUND,0.13249928
PRIMARY_Cement_1,0.030576916
PRIMARY_Coal_1,0.030459497
PRIMARY_Alumina_1,0.030300321
PRIMARY_Gold_1,0.025501698
PRIMARY_Anthracite_1,0.024113389
EMP_X_SURFACE,0.023090478
EMP_X_STRIP,0.021995375
PRIMARY_Silver Ore_1,0.019852906
PRIMARY_Iron Ore_1,0.019119574
PRIMARY_Sandstone_1,0.01905224
US_STATE_NV,0.016901497
US_STATE_CO,0.016837602
US_STATE_SD,0.016285555
PRIMARY_Copper Ore_1,0.016073866
SEAM_HEIGHT,0.0150924185
PRIMARY_crushed and broken_1,0.015085195
PRIMARY_Bituminous_1,0.014557878
US_STATE_GA,0.014517
US_STATE_ID,0.0137320645
COMMODITY_Nonmetal,0.013179699
PRIMARY_Clay_1,0.013011047
TYPE_OF_MINE_Underground,0.012988838
US_STATE_MO,0.012873149
PRIMARY_dimension_1,0.0128472615
PRIMARY_ceramic and factory_1,0.0113335615
US_STATE_RI,0.011119604
US_STATE_WA,0.011105819
PCT_HRS_MILL_PREP,0.010994834
US_STATE_NY,0.010867171
US_STATE_WI,0.010687419
US_STATE_UT,0.010603969
US_STATE_IL,0.010469071
PRIMARY_Traprock_1,0.010426063
COMMODITY_Stone,0.01042143
US_STATE_MA,0.010419728
US_STATE_PA,0.010397371
PCT_HRS_SURFACE,0.010261062
PRIMARY_Granite_1,0.009533248
PRIMARY_Limestone_1,0.009487774
US_STATE_OH,0.009251959
US_STATE_TX,0.009189305
PCT_HRS_OFFICE,0.009102191
PRIMARY_Lime_1,0.009044871
AVG_EMP_TOTAL,0.008848808
EMP_X_OFFICE,0.008426158
PRIMARY_common_1,0.0075881546
PCT_HRS_AUGER,0.007566691
RISK_SCORE,0.007565024
US_STATE_AL,0.0075248443
EMP_X_UNDERGROUND,0.007495422
PRIMARY_Shale_1,0.007478782
US_STATE_MI,0.0073446287
PCT_HRS_STRIP,0.006898162
PRIMARY_Sand_1,0.006892974
PRIMARY_Boron materials_1,0.0066900374
US_STATE_MD,0.00659169
PRIMARY_Nonmetallic minerals_1,0.0063797785
US_STATE_VA,0.0061707934
HRS_PER_EMP,0.0061193714
US_STATE_CA,0.00609675
PRIMARY_NEC_1,0.006013449
PRIMARY_Sand & gravel_1,0.00592086
PRIMARY_Magnesite_1,0.0059033167
US_STATE_NC,0.005374305
US_STATE_LA,0.004977008
PRIMARY_Slate_1,0.004938698
PRIMARY_Kyanite_1,0.0047220276
TYPE_OF_MINE_Surface,0.0045681326
US_STATE_MN,0.0045643044
PCT_HRS_OTHER_SURFACE,0.0045552277
PRIMARY_Phosphate rock_1,0.0043929317
PCT_HRS_DREDGE,0.0043720976
US_STATE_PR,0.004000626
US_STATE_KS,0.0038742267
US_STATE_IN,0.0034801979
US_STATE_VT,0.0034313002
PRIMARY_Marble_1,0.0033732252
COMMODITY_Metal,0.0032125595
PRIMARY_Barite_1,0.0031840007
US_STATE_IA,0.0030888626
US_STATE_TN,0.0029880828
US_STATE_WY,0.0023694057
YEAR,0.0021658903
US_STATE_KY,0.0020097645
US_STATE_WV,0.0015032801
US_STATE_OR,0.0013268602
PCT_HRS_SHOP_YARD,0.001105761
PRIMARY_Gypsum_1,0.000933226
US_STATE_MT,0.00033340338
US_STATE_FL,0.00027450404
